File description: Atmospheric CO2 concentrations (ppm) from SSP Baseline scenarios.,,,,,
Note: Concentrations were interpolated to annual values.,,,,,
"Source: Downloaded from https://tntcat.iiasa.ac.at/SspDb/dsd?Action=htmlpage&page=welcome on August 23, 2021.",,,,,
For recommended citation please follow this link: https://tntcat.iiasa.ac.at/SspDb/dsd?Action=htmlpage&page=citation,,,,,
,,,,,
Model,IMAGE,MESSAGE-GLOBIOM,AIM/CGE,GCAM4,REMIND-MAGPIE
Year,SSP1-Baseline,SSP2-Baseline,SSP3-Baseline,SSP4-Baseline,SSP5-Baseline
2005,379.85,379.85,379.85,379.85,379.85
2006,381.981,381.981,381.981,381.981,381.981
2007,384.112,384.112,384.112,384.112,384.112
2008,386.243,386.243,386.243,386.243,386.243
2009,388.374,388.374,388.374,388.374,388.374
2010,390.505,390.505,390.505,390.505,390.505
2011,392.9892,392.9254,393.2434,393.0541,393.1794
2012,395.4734,395.3458,395.9818,395.6032,395.8538
2013,397.9576,397.7662,398.7202,398.1523,398.5282
2014,400.4418,400.1866,401.4586,400.7014,401.2026
2015,402.926,402.607,404.197,403.2505,403.877
2016,405.4102,405.0274,406.9354,405.7996,406.5514
2017,407.8944,407.4478,409.6738,408.3487,409.2258
2018,410.3786,409.8682,412.4122,410.8978,411.9002
2019,412.8628,412.2886,415.1506,413.4469,414.5746
2020,415.347,414.709,417.889,415.996,417.249
2021,418.0425,417.4382,421.2998,419.059,420.8008
2022,420.738,420.1674,424.7106,422.122,424.3526
2023,423.4335,422.8966,428.1214,425.185,427.9044
2024,426.129,425.6258,431.5322,428.248,431.4562
2025,428.8245,428.355,434.943,431.311,435.008
2026,431.52,431.0842,438.3538,434.374,438.5598
2027,434.2155,433.8134,441.7646,437.437,442.1116
2028,436.911,436.5426,445.1754,440.5,445.6634
2029,439.6065,439.2718,448.5862,443.563,449.2152
2030,442.302,442.001,451.997,446.626,452.767
2031,445.1196,445.2024,455.9228,450.2009,457.4581
2032,447.9372,448.4038,459.8486,453.7758,462.1492
2033,450.7548,451.6052,463.7744,457.3507,466.8403
2034,453.5724,454.8066,467.7002,460.9256,471.5314
2035,456.39,458.008,471.626,464.5005,476.2225
2036,459.2076,461.2094,475.5518,468.0754,480.9136
2037,462.0252,464.4108,479.4776,471.6503,485.6047
2038,464.8428,467.6122,483.4034,475.2252,490.2958
2039,467.6604,470.8136,487.3292,478.8001,494.9869
2040,470.478,474.015,491.255,482.375,499.678
2041,473.2476,477.7441,495.6516,486.2335,505.6794
2042,476.0172,481.4732,500.0482,490.092,511.6808
2043,478.7868,485.2023,504.4448,493.9505,517.6822
2044,481.5564,488.9314,508.8414,497.809,523.6836
2045,484.326,492.6605,513.238,501.6675,529.685
2046,487.0956,496.3896,517.6346,505.526,535.6864
2047,489.8652,500.1187,522.0312,509.3845,541.6878
2048,492.6348,503.8478,526.4278,513.243,547.6892
2049,495.4044,507.5769,530.8244,517.1015,553.6906
2050,498.174,511.306,535.221,520.96,559.692
2051,500.8542,515.5382,540.0681,525.0018,567.3021
2052,503.5344,519.7704,544.9152,529.0436,574.9122
2053,506.2146,524.0026,549.7623,533.0854,582.5223
